OBJECTID,Site_Description,Date_Sample_Collected,Result_Name,Result_Label
133,Mundoo Barrage Downstream,30/07/2025,Cyanogranis,"205,000,000 Cells/L"
134,Mundoo Barrage Downstream,30/07/2025,Oocystis sp_1_(small_cells),"200,000 Cells/L"
135,Mundoo Barrage Downstream,30/07/2025,Aphanizomenon,"618,000 Cells/L"
136,Mundoo Barrage Downstream,30/07/2025,Dictyosphaerium,"250,000 Cells/L"
137,Mundoo Barrage Downstream,30/07/2025,Merismopedia,"19,200,000 Cells/L"
138,Mundoo Barrage Downstream,30/07/2025,Cyanodictyon,"11,000,000 Cells/L"
139,Mundoo Barrage Downstream,30/07/2025,Chodatella_(Lagerheimia),"167,000 Cells/L"
140,Mundoo Barrage Downstream,30/07/2025,Scenedesmus,"1,200,000 Cells/L"
141,Mundoo Barrage Downstream,26/06/2025,Diatoms - Total,"325,000 Cells/L"
142,Mundoo Barrage Downstream,26/06/2025,Toxin producing BGA - Total,"938,000 Cells/L"
143,Mundoo Barrage Downstream,26/06/2025,Green Algae - Total,"10,400,000 Cells/L"
144,Mundoo Barrage Downstream,26/06/2025,Blue Green Algae - Total,"214,000,000 Cells/L"
145,Mundoo Barrage Downstream,26/06/2025,Algae - Total,"225,000,000 Cells/L"
146,Mundoo Barrage Downstream,26/06/2025,Geosmin-MIB producing BGA - Total,0 Cells/L
147,Mundoo Barrage Downstream,26/06/2025,Colonial green algae,"390,000 Cells/L"
148,Mundoo Barrage Downstream,26/06/2025,Colonial green algae small_spp,"1,620,000 Cells/L"
149,Mundoo Barrage Downstream,26/06/2025,Kirchneriella,"350,000 Cells/L"
150,Mundoo Barrage Downstream,26/06/2025,Crucigenia,"720,000 Cells/L"
151,Mundoo Barrage Downstream,26/06/2025,Planktolyngbya,"125,000,000 Cells/L"
152,Mundoo Barrage Downstream,26/06/2025,Romeria,"27,200,000 Cells/L"
153,Mundoo Barrage Downstream,26/06/2025,Oocystis,"775,000 Cells/L"
154,Mundoo Barrage Downstream,26/06/2025,Nitzschia,"325,000 Cells/L"
155,Mundoo Barrage Downstream,26/06/2025,Pediastrum,"70,000 Cells/L"
156,Mundoo Barrage Downstream,26/06/2025,Cuspidothrix,"680,000 Cells/L"
157,Mundoo Barrage Downstream,26/06/2025,Oocystis sp_1_(small_cells),"80,000 Cells/L"
158,Mundoo Barrage Downstream,26/06/2025,Merismopedia,"41,800,000 Cells/L"
159,Mundoo Barrage Downstream,26/06/2025,Cylindrospermopsis raciborskii,"938,000 Cells/L"
160,Mundoo Barrage Downstream,26/06/2025,Planctonema,"1,670,000 Cells/L"
161,Mundoo Barrage Downstream,26/06/2025,Cyanodictyon,"13,200,000 Cells/L"
162,Mundoo Barrage Downstream,26/06/2025,Tetrastrum,"750,000 Cells/L"
163,Mundoo Barrage Downstream,26/06/2025,Other Organisms,"870,000 Cells/L"
164,Mundoo Barrage Downstream,26/06/2025,Cryptomonas,"350,000 Cells/L"
165,Mundoo Barrage Downstream,26/06/2025,Cya phron,"2,000,000 Cells/L"
166,Mundoo Barrage Downstream,26/06/2025,Monoraphidium,"1,150,000 Cells/L"
167,Mundoo Barrage Downstream,26/06/2025,Scenedesmus,"2,800,000 Cells/L"
168,Mundoo Barrage Downstream,26/06/2025,Aphanizomenon,"2,730,000 Cells/L"
169,Mundoo Barrage Downstream,17/06/2025,Algae - Total,"706,000,000 Cells/L"
170,Mundoo Barrage Downstream,17/06/2025,Blue Green Algae - Total,"689,000,000 Cells/L"
171,Mundoo Barrage Downstream,17/06/2025,Green Algae - Total,"15,500,000 Cells/L"
172,Mundoo Barrage Downstream,17/06/2025,Geosmin-MIB producing BGA - Total,0 Cells/L
173,Mundoo Barrage Downstream,17/06/2025,Diatoms - Total,"270,000 Cells/L"
174,Mundoo Barrage Downstream,17/06/2025,Toxin producing BGA - Total,"7,120,000 Cells/L"
175,Mundoo Barrage Downstream,17/06/2025,Achnanthidium,"250,000 Cells/L"
176,Mundoo Barrage Downstream,17/06/2025,Nodularia spumigena,"222,000 Cells/L"
177,Mundoo Barrage Downstream,17/06/2025,Chroomonas,"650,000 Cells/L"
178,Mundoo Barrage Downstream,17/06/2025,Cylindrospermopsis raciborskii,"6,900,000 Cells/L"
179,Mundoo Barrage Downstream,17/06/2025,Spirulina,"720,000 Cells/L"
180,Mundoo Barrage Downstream,17/06/2025,Cyanodictyon,"141,000,000 Cells/L"
181,Mundoo Barrage Downstream,17/06/2025,Planktolyngbya,"176,000,000 Cells/L"
182,Mundoo Barrage Downstream,17/06/2025,Merismopedia,"356,000,000 Cells/L"
183,Mundoo Barrage Downstream,17/06/2025,Monoraphidium,"4,600,000 Cells/L"
184,Mundoo Barrage Downstream,17/06/2025,Chodatella_(Lagerheimia),"275,000 Cells/L"
185,Mundoo Barrage Downstream,17/06/2025,Other Organisms,"3,250,000 Cells/L"
186,Mundoo Barrage Downstream,17/06/2025,Staurastrum,"6,000 Cells/L"
187,Mundoo Barrage Downstream,17/06/2025,Cryptomonas,"50,000 Cells/L"
188,Mundoo Barrage Downstream,17/06/2025,Nitzschia,"20,000 Cells/L"
